Service Area,Service Request,Ward,Neighbourhood
Garbage & Recycling,Missed Recycling Collection,Waverley West,West Fort Garry Industrial
Street Maintenance,Potholes,St. Vital,St. Vital Centre
Garbage & Recycling,Missed Recycling Collection,Elmwood - East Kildonan,Rossmere-B
Garbage & Recycling,Missed Garbage Collection,Charleswood - Tuxedo - Whyte Ridge,Betsworth
Garbage & Recycling,Missed Garbage Collection,Point Douglas,Tyndall Park
Garbage & Recycling,Missed Recycling Collection,Mynarski,St. John's
Street Maintenance,Potholes,St. Vital,Vista
Water,Water Main Leak,St. Vital,Minnetonka
Street Maintenance,Snow Removal - Sidewalks,Elmwood - East Kildonan,Valley Gardens
Garbage & Recycling,Missed Garbage Collection,South Winnipeg - St. Norbert,Waverley Heights
Garbage & Recycling,Missed Garbage Collection,St. Norbert - Seine River,Dakota Crossing
Street Maintenance,Potholes,Charleswood - Tuxedo - Whyte Ridge,Elmhurst
Garbage & Recycling,Missed Garbage Collection,St. Boniface,Norwood East
Street Maintenance,Potholes,Point Douglas,Civic Centre
Garbage & Recycling,Missed Garbage Collection,St. Boniface,Norwood West
Garbage & Recycling,Missed Recycling Collection,St. Boniface,Norwood East
Garbage & Recycling,Missed Garbage Collection,Fort Rouge - East Fort Garry,Lord Roberts
Garbage & Recycling,Missed Recycling Collection,St. Vital,Victoria Crescent
Street Maintenance,Sidewalk Repairs,Elmwood - East Kildonan,Chalmers
Water,Water Main Leak,Daniel McIntyre,Spence
Garbage & Recycling,Missed Recycling Collection,St. Norbert - Seine River,River Park South
Street Maintenance,Potholes,St. James,Saskatchewan North
Garbage & Recycling,Missed Garbage Collection,St. Norbert - Seine River,Dakota Crossing
Street Maintenance,Sidewalk Repairs,St. Boniface,Norwood West
Garbage & Recycling,Missed Garbage Collection,St. Vital,Victoria Crescent
Street Maintenance,Snow Removal - Roads,Transcona,Canterbury Park
Garbage & Recycling,Missed Recycling Collection,Point Douglas,West Alexander
Garbage & Recycling,Missed Recycling Collection,St. James,Booth
Street Maintenance,Sanding,Old Kildonan,Garden City
Garbage & Recycling,Missed Garbage Collection,North Kildonan,Springfield North
Street Maintenance,Sanding,St. Vital,Meadowood
Garbage & Recycling,Missed Garbage Collection,St. Vital,Minnetonka
Street Maintenance,Potholes,St. James,Deer Lodge
Garbage & Recycling,Missed Garbage Collection,Old Kildonan,Leila-Mcphillips Triangle
Street Maintenance,Frozen Catch Basin,Old Kildonan,Mandalay West
Garbage & Recycling,Missed Garbage Collection,St. Norbert - Seine River,Dakota Crossing
Street Maintenance,Potholes,St. Boniface,Windsor Park
Insect Control,Tree Pest Caterpillar Complaint,St. James - Brooklands - Weston,Woodhaven
Street Maintenance,Snow Removal - Roads,Daniel McIntyre,St. Matthews
Garbage & Recycling,Missed Garbage Collection,Mynarski,Inkster-Faraday
Street Maintenance,Sidewalk Repairs,Transcona,Kildare-Redonda
Street Maintenance,Sidewalk Repairs,Mynarski,Robertson
Garbage & Recycling,Missed Recycling Collection,Mynarski,Robertson
Garbage & Recycling,Missed Recycling Collection,St. Boniface,Windsor Park
Garbage & Recycling,Missed Garbage Collection,Charleswood - Tuxedo - Westwood,Eric Coy
Street Maintenance,Snow Removal - Roads,North Kildonan,River East
Garbage & Recycling,Missed Recycling Collection,St. Vital,Sage Creek
Insect Control,Tree Pest Caterpillar Complaint,Old Kildonan,Garden City
Street Maintenance,Snow Removal - Roads,Point Douglas,Tyndall Park
Garbage & Recycling,Missed Garbage Collection,Transcona,Grassie
Street Maintenance,Potholes,Daniel McIntyre,Minto
Garbage & Recycling,Missed Garbage Collection,Transcona,Meadows
Street Maintenance,Potholes,Transcona,Canterbury Park
Street Maintenance,Potholes,River Heights - Fort Garry,Chevrier
Water,Water Main Leak,River Heights - Fort Garry,South River Heights
Garbage & Recycling,Missed Garbage Collection,St. Boniface,Windsor Park
Garbage & Recycling,Missed Garbage Collection,St. Norbert - Seine River,River Park South
Garbage & Recycling,Missed Garbage Collection,St. James,Deer Lodge
Garbage & Recycling,Missed Recycling Collection,Charleswood - Tuxedo - Whyte Ridge,Elmhurst
Street Maintenance,Sanding,River Heights - Fort Garry,Wellington Crescent
Street Maintenance,Potholes,Daniel McIntyre,Wolseley
Street Maintenance,Potholes,Fort Rouge - East Fort Garry,Riverview
Street Maintenance,Potholes,Point Douglas,Omand's Creek Industrial
Garbage & Recycling,Missed Garbage Collection,St. Vital,Royalwood
Street Maintenance,Potholes,Mynarski,St. John's
Garbage & Recycling,Missed Recycling Collection,St. James,Crestview
Garbage & Recycling,Missed Garbage Collection,Elmwood - East Kildonan,Chalmers
Garbage & Recycling,Missed Recycling Collection,North Kildonan,Kildonan Drive
Garbage & Recycling,Missed Recycling Collection,St. Boniface,Sage Creek
Garbage & Recycling,Missed Recycling Collection,St. Vital,Kingston Crescent
Water,Water Main Leak,Daniel McIntyre,Wolseley
Garbage & Recycling,Missed Garbage Collection,Old Kildonan,Amber Trails
Garbage & Recycling,Missed Recycling Collection,Transcona,Radisson
Garbage & Recycling,Missed Recycling Collection,St. Vital,Kingston Crescent
Garbage & Recycling,Missed Garbage Collection,Old Kildonan,Amber Trails
Street Maintenance,Sanding,Elmwood - East Kildonan,Valley Gardens
Street Maintenance,Snow Removal - Sidewalks,North Kildonan,Rivergrove
Garbage & Recycling,Missed Garbage Collection,Elmwood - East Kildonan,Munroe West
Garbage & Recycling,Missed Recycling Collection,Mynarski,St. John's
Street Maintenance,Snow Removal - Roads,Point Douglas,Tyndall Park
Garbage & Recycling,Missed Recycling Collection,Old Kildonan,Templeton-Sinclair
Garbage & Recycling,Missed Garbage Collection,North Kildonan,Kildonan Drive
Garbage & Recycling,Missed Garbage Collection,Charleswood - Tuxedo - Whyte Ridge,Varsity View
Garbage & Recycling,Missed Garbage Collection,Daniel McIntyre,Minto
Garbage & Recycling,Missed Recycling Collection,St. Vital,Vista
Garbage & Recycling,Missed Garbage Collection,St. Norbert - Seine River,Fort Richmond
Street Maintenance,Potholes,Transcona,Mission Gardens
Garbage & Recycling,Missed Recycling Collection,South Winnipeg - St. Norbert,River Park South
Water,Water Main Leak,Elmwood - East Kildonan,Valley Gardens
Garbage & Recycling,Missed Garbage Collection,Mynarski,St. John's
Garbage & Recycling,Missed Garbage Collection,Point Douglas,West Alexander
Street Maintenance,Litter Container Complaint,Daniel McIntyre,Central Park
